Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Format,100s,50s,200s
,,,,,,,,2,ODI v Afghanistan,Mirpur,05-Mar-14,ODI,0,0,0
36.0,45,32,4,1,112.5,3,not out,2,T20I v Pakistan,Mirpur,21-Mar-14,T20I,0,0,0
54.0,51,41,5,1,131.7,3,bowled,2,T20I v West Indies,Mirpur,23-Mar-14,T20I,0,1,0
57.0,66,50,3,1,114,3,not out,2,T20I v Bangladesh,Mirpur,28-Mar-14,T20I,0,1,0
23.0,23,22,2,1,104.54,3,caught,1,T20I v Australia,Mirpur,30-Mar-14,T20I,0,0,0
72.0,67,44,5,2,163.63,3,not out,2,T20I v South Africa,Mirpur,04-Apr-14,T20I,0,1,0
77.0,75,58,5,4,132.75,3,run out,1,T20I v Sri Lanka,Mirpur,06-Apr-14,T20I,0,1,0
1.0,6,8,0,0,12.5,4,caught,1,Test v England,Nottingham,09-Jul-14,Test,0,0,0
8.0,39,29,1,0,27.58,4,lbw,3,Test v England,Nottingham,09-Jul-14,Test,0,0,0
25.0,39,34,4,0,73.52,4,caught,1,Test v England,Lord's,17-Jul-14,Test,0,0,0
0.0,1,1,0,0,0,4,bowled,3,Test v England,Lord's,17-Jul-14,Test,0,0,0
39.0,119,75,3,0,52,4,caught,2,Test v England,Southampton,27-Jul-14,Test,0,0,0
28.0,77,56,3,0,50,4,caught,4,Test v England,Southampton,27-Jul-14,Test,0,0,0
0.0,3,2,0,0,0,4,caught,1,Test v England,Manchester,07-Aug-14,Test,0,0,0
7.0,15,11,1,0,63.63,4,caught,3,Test v England,Manchester,07-Aug-14,Test,0,0,0
6.0,34,18,1,0,33.33,4,lbw,1,Test v England,The Oval,15-Aug-14,Test,0,0,0
20.0,80,54,2,0,37.03,4,caught,3,Test v England,The Oval,15-Aug-14,Test,0,0,0
0.0,1,3,0,0,0,3,caught,1,ODI v England,Cardiff,27-Aug-14,ODI,0,0,0
40.0,67,50,2,1,80,3,caught,2,ODI v England,Nottingham,30-Aug-14,ODI,0,0,0
1.0,9,3,0,0,33.33,3,not out,2,ODI v England,Birmingham,02-Sep-14,ODI,0,0,0
13.0,25,21,2,0,61.9,3,caught,2,ODI v England,Leeds,05-Sep-14,ODI,0,0,0
66.0,54,41,9,1,160.97,3,caught,2,T20I v England,Birmingham,07-Sep-14,T20I,0,1,0
2.0,7,5,0,0,40,3,caught,2,ODI v West Indies,Kochi,08-Oct-14,ODI,0,0,0
62.0,124,78,5,0,79.48,4,caught,1,ODI v West Indies,Delhi,11-Oct-14,ODI,0,1,0
127.0,164,114,13,3,111.4,3,run out,1,ODI v West Indies,Dharamsala,17-Oct-14,ODI,1,0,0
22.0,34,21,2,0,104.76,4,caught,1,ODI v Sri Lanka,Cuttack,02-Nov-14,ODI,0,0,0
49.0,,44,2,2,111.36,4,caught,2,ODI v Sri Lanka,Ahmedabad,06-Nov-14,ODI,0,0,0
53.0,,61,4,1,86.88,4,caught,2,ODI v Sri Lanka,Hyderabad,09-Nov-14,ODI,0,1,0
66.0,109,64,6,0,103.12,4,run out,1,ODI v Sri Lanka,Eden Gardens,13-Nov-14,ODI,0,1,0
139.0,192,126,12,3,110.31,4,not out,2,ODI v Sri Lanka,Ranchi,16-Nov-14,ODI,1,0,0
115.0,267,184,12,0,62.5,4,caught,2,Test v Australia,Adelaide,09-Dec-14,Test,1,0,0
141.0,279,175,16,1,80.57,4,caught,4,Test v Australia,Adelaide,09-Dec-14,Test,1,0,0
19.0,50,27,1,0,70.37,4,caught,1,Test v Australia,Brisbane,17-Dec-14,Test,0,0,0
1.0,14,11,0,0,9.09,4,bowled,3,Test v Australia,Brisbane,17-Dec-14,Test,0,0,0
169.0,380,272,18,0,62.13,4,caught,2,Test v Australia,Melbourne,26-Dec-14,Test,1,0,0
54.0,134,99,7,0,54.54,4,caught,4,Test v Australia,Melbourne,26-Dec-14,Test,0,1,0
147.0,315,230,20,0,63.91,4,caught,2,Test v Australia,Sydney,06-Jan-15,Test,1,0,0
46.0,123,95,3,0,48.42,4,caught,4,Test v Australia,Sydney,06-Jan-15,Test,0,0,0
9.0,24,16,0,0,56.25,4,caught,1,ODI v Australia,Melbourne,18-Jan-15,ODI,0,0,0
4.0,13,8,0,0,50,4,caught,1,ODI v England,Brisbane,20-Jan-15,ODI,0,0,0
3.0,8,9,0,0,33.33,4,not out,1,ODI v Australia,Sydney,26-Jan-15,ODI,0,0,0
8.0,26,19,0,0,42.1,3,caught,1,ODI v England,Perth,30-Jan-15,ODI,0,0,0
107.0,168,126,8,0,84.92,3,caught,1,ODI v Pakistan,Adelaide,15-Feb-15,ODI,1,0,0
46.0,106,60,3,0,76.66,3,caught,1,ODI v South Africa,Melbourne,22-Feb-15,ODI,0,0,0
33.0,49,41,5,0,80.48,3,not out,2,ODI v U.A.E.,Perth,28-Feb-15,ODI,0,0,0
33.0,51,36,5,0,91.66,3,caught,2,ODI v West Indies,Perth,06-Mar-15,ODI,0,0,0
44.0,64,42,4,1,104.76,3,not out,2,ODI v Ireland,Hamilton,10-Mar-15,ODI,0,0,0
38.0,71,48,4,0,79.16,3,bowled,2,ODI v Zimbabwe,Auckland,14-Mar-15,ODI,0,0,0
3.0,6,8,0,0,37.5,3,caught,1,ODI v Bangladesh,Melbourne,19-Mar-15,ODI,0,0,0
1.0,11,13,0,0,7.69,3,caught,2,ODI v Australia,Sydney,26-Mar-15,ODI,0,0,0
14.0,17,22,2,0,63.63,4,bowled,1,Test v Bangladesh,Fatullah,10-Jun-15,Test,0,0,0
1.0,9,4,0,0,25,3,caught,2,ODI v Bangladesh,Mirpur,18-Jun-15,ODI,0,0,0
23.0,57,27,3,1,85.18,3,lbw,1,ODI v Bangladesh,Mirpur,21-Jun-15,ODI,0,0,0
25.0,55,35,1,0,71.42,3,bowled,1,ODI v Bangladesh,Mirpur,24-Jun-15,ODI,0,0,0
103.0,266,191,11,0,53.92,4,lbw,2,Test v Sri Lanka,Galle,12-Aug-15,Test,1,0,0
