Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Format,Oppositions,100s,50s,200s
0.0,1,1,0,0,0,5,lbw,2,Colombo (RPS),28-Jul-12,ODI,Sri Lanka,0,0,0
4.0,18,14,0,0,28.57,4,lbw,2,Colombo (RPS),31-Jul-12,ODI,Sri Lanka,0,0,0
4.0,12,9,1,0,44.44,4,bowled,1,Pallekele,04-Aug-12,ODI,Sri Lanka,0,0,0
,,,,,,,,1,Pallekele,07-Aug-12,T20I,Sri Lanka,0,0,0
4.0,2,2,0,0,200,6,not out,2,Chennai,11-Sep-12,T20I,New Zealand,0,0,0
1.0,2,1,0,0,100,7,not out,1,Colombo (RPS),19-Sep-12,T20I,Afghanistan,0,0,0
55.0,48,33,5,1,166.66,4,not out,1,Colombo (RPS),23-Sep-12,T20I,England,0,1,0
1.0,5,2,0,0,50,5,bowled,1,Colombo (RPS),28-Sep-12,T20I,Australia,0,0,0
,,,,,,,,2,Colombo (RPS),30-Sep-12,T20I,Pakistan,0,0,0
25.0,48,27,2,0,92.59,4,lbw,1,Colombo (RPS),02-Oct-12,T20I,South Africa,0,0,0
24.0,28,19,1,1,126.31,5,bowled,1,Wankhede,22-Dec-12,T20I,England,0,0,0
2.0,8,2,0,0,100,7,run out,1,Bengaluru,25-Dec-12,T20I,Pakistan,0,0,0
4.0,1,2,1,0,200,7,not out,1,Ahmedabad,28-Dec-12,T20I,Pakistan,0,0,0
4.0,19,14,0,0,28.57,5,caught,1,Chennai,30-Dec-12,ODI,Pakistan,0,0,0
83.0,135,93,11,1,89.24,2,lbw,2,Mohali,23-Jan-13,ODI,England,0,1,0
4.0,15,9,1,0,44.44,2,caught,1,Dharamsala,27-Jan-13,ODI,England,0,0,0
65.0,96,81,8,1,80.24,1,caught,1,Cardiff,06-Jun-13,ODI,South Africa,0,1,0
52.0,78,56,7,0,92.85,1,caught,2,The Oval,11-Jun-13,ODI,West Indies,0,1,0
18.0,54,32,2,0,56.25,1,caught,2,Birmingham,15-Jun-13,ODI,Pakistan,0,0,0
33.0,77,50,4,0,66,1,bowled,2,Cardiff,20-Jun-13,ODI,Sri Lanka,0,0,0
9.0,18,14,1,0,64.28,1,bowled,1,Birmingham,23-Jun-13,ODI,England,0,0,0
60.0,129,89,4,1,67.41,1,caught,1,Kingston,30-Jun-13,ODI,West Indies,0,1,0
5.0,16,13,0,0,38.46,1,caught,2,Kingston,02-Jul-13,ODI,Sri Lanka,0,0,0
46.0,124,78,5,0,58.97,1,caught,1,Port of Spain,05-Jul-13,ODI,West Indies,0,0,0
48.0,126,83,2,1,57.83,1,not out,1,Port of Spain,09-Jul-13,ODI,Sri Lanka,0,0,0
58.0,146,89,5,1,65.16,1,bowled,2,Port of Spain,11-Jul-13,ODI,Sri Lanka,0,1,0
20.0,57,40,2,0,50,1,caught,2,Harare,24-Jul-13,ODI,Zimbabwe,0,0,0
1.0,5,7,0,0,14.28,1,caught,1,Harare,26-Jul-13,ODI,Zimbabwe,0,0,0
14.0,27,21,2,0,66.66,1,caught,2,Harare,28-Jul-13,ODI,Zimbabwe,0,0,0
64.0,123,90,5,1,71.11,2,not out,2,Bulawayo,01-Aug-13,ODI,Zimbabwe,0,1,0
8.0,8,8,0,1,100,1,caught,2,Rajkot,10-Oct-13,T20I,Australia,0,0,0
42.0,62,47,6,0,89.36,2,caught,2,Pune,13-Oct-13,ODI,Australia,0,0,0
141.0,195,123,17,4,114.63,1,not out,2,Jaipur,16-Oct-13,ODI,Australia,1,0,0
11.0,33,22,2,0,50,1,caught,1,Mohali,19-Oct-13,ODI,Australia,0,0,0
9.0,19,13,1,0,69.23,1,not out,2,Ranchi,23-Oct-13,ODI,Australia,0,0,0
79.0,119,89,7,3,88.76,1,caught,2,Nagpur,30-Oct-13,ODI,Australia,0,1,0
209.0,222,158,12,16,132.27,1,caught,1,Bengaluru,02-Nov-13,ODI,Australia,0,0,1
177.0,370,301,23,1,58.8,6,lbw,2,Eden Gardens,06-Nov-13,Test,West Indies,1,0,0
111.0,181,127,11,3,87.4,6,not out,2,Wankhede,14-Nov-13,Test,West Indies,1,0,0
72.0,105,81,8,1,88.88,1,caught,2,Kochi,21-Nov-13,ODI,West Indies,0,1,0
12.0,20,19,3,0,63.15,1,caught,1,Visakhapatnam,24-Nov-13,ODI,West Indies,0,0,0
4.0,19,14,0,0,28.57,1,caught,2,Kanpur,27-Nov-13,ODI,West Indies,0,0,0
18.0,69,43,2,0,41.86,1,run out,2,Johannesburg,05-Dec-13,ODI,South Africa,0,0,0
19.0,34,26,2,0,73.07,1,caught,2,Durban,08-Dec-13,ODI,South Africa,0,0,0
,,,,,,,,-,Centurion,11-Dec-13,ODI,South Africa,0,0,0
14.0,46,42,1,0,33.33,5,caught,1,Johannesburg,18-Dec-13,Test,South Africa,0,0,0
6.0,19,13,1,0,46.15,5,bowled,3,Johannesburg,18-Dec-13,Test,South Africa,0,0,0
0.0,2,1,0,0,0,5,bowled,1,Durban,26-Dec-13,Test,South Africa,0,0,0
25.0,69,46,2,1,54.34,5,lbw,3,Durban,26-Dec-13,Test,South Africa,0,0,0
3.0,24,23,0,0,13.04,1,caught,2,Napier,19-Jan-14,ODI,New Zealand,0,0,0
20.0,42,34,2,1,58.82,2,caught,2,Hamilton,22-Jan-14,ODI,New Zealand,0,0,0
39.0,65,38,1,4,102.63,1,caught,2,Auckland,25-Jan-14,ODI,New Zealand,0,0,0
79.0,131,94,6,4,84.04,1,caught,1,Hamilton,28-Jan-14,ODI,New Zealand,0,1,0
4.0,20,13,0,0,30.76,1,caught,2,Wellington,31-Jan-14,ODI,New Zealand,0,0,0
72.0,167,120,8,1,60,5,bowled,2,Auckland,06-Feb-14,Test,New Zealand,0,1,0
19.0,90,59,2,0,32.2,5,caught,4,Auckland,06-Feb-14,Test,New Zealand,0,0,0
0.0,11,3,0,0,0,6,bowled,2,Wellington,14-Feb-14,Test,New Zealand,0,0,0
31.0,122,97,4,0,31.95,5,not out,4,Wellington,14-Feb-14,Test,New Zealand,0,0,0
21.0,57,29,1,1,72.41,1,bowled,2,Fatullah,26-Feb-14,ODI,Bangladesh,0,0,0
13.0,37,28,1,0,46.42,1,lbw,1,Fatullah,28-Feb-14,ODI,Sri Lanka,0,0,0
56.0,86,58,7,2,96.55,1,caught,1,Mirpur,02-Mar-14,ODI,Pakistan,0,1,0
18.0,36,24,1,0,75,3,not out,2,Mirpur,05-Mar-14,ODI,Afghanistan,0,0,0
24.0,41,21,1,2,114.28,1,bowled,2,Mirpur,21-Mar-14,T20I,Pakistan,0,0,0
62.0,83,55,5,2,112.72,1,not out,2,Mirpur,23-Mar-14,T20I,West Indies,0,1,0
56.0,60,44,5,1,127.27,1,caught,2,Mirpur,28-Mar-14,T20I,Bangladesh,0,1,0
5.0,1,3,1,0,166.66,1,caught,1,Mirpur,30-Mar-14,T20I,Australia,0,0,0
24.0,17,13,4,1,184.61,1,caught,2,Mirpur,04-Apr-14,T20I,South Africa,0,0,0
29.0,41,26,3,0,111.53,1,caught,1,Mirpur,06-Apr-14,T20I,Sri Lanka,0,0,0
28.0,81,61,3,0,45.9,6,caught,2,Southampton,27-Jul-14,Test,England,0,0,0
6.0,39,28,0,0,21.42,6,caught,4,Southampton,27-Jul-14,Test,England,0,0,0
52.0,126,87,4,1,59.77,1,caught,1,Cardiff,27-Aug-14,ODI,England,0,1,0
264.0,225,173,33,9,152.6,2,caught,1,Eden Gardens,13-Nov-14,ODI,Sri Lanka,0,0,1
9.0,18,12,2,0,75,2,bowled,2,Ranchi,16-Nov-14,ODI,Sri Lanka,0,0,0
43.0,142,89,5,0,48.31,6,caught,2,Adelaide,09-Dec-14,Test,Australia,0,0,0
6.0,37,18,1,0,33.33,6,caught,4,Adelaide,09-Dec-14,Test,Australia,0,0,0
32.0,93,55,3,1,58.18,6,caught,1,Brisbane,17-Dec-14,Test,Australia,0,0,0
0.0,2,2,0,0,0,6,caught,3,Brisbane,17-Dec-14,Test,Australia,0,0,0
53.0,179,133,5,2,39.84,3,bowled,2,Sydney,06-Jan-15,Test,Australia,0,1,0
39.0,102,90,2,2,43.33,3,caught,4,Sydney,06-Jan-15,Test,Australia,0,0,0
138.0,228,139,9,4,99.28,1,caught,1,Melbourne,18-Jan-15,ODI,Australia,1,0,0
15.0,35,20,2,0,75,1,caught,1,Adelaide,15-Feb-15,ODI,Pakistan,0,0,0
0.0,13,6,0,0,0,1,run out,1,Melbourne,22-Feb-15,ODI,South Africa,0,0,0
57.0,77,55,10,1,103.63,1,not out,2,Perth,28-Feb-15,ODI,U.A.E.,0,1,0
7.0,30,18,1,0,38.88,1,caught,2,Perth,06-Mar-15,ODI,West Indies,0,0,0
64.0,99,66,3,3,96.96,1,bowled,2,Hamilton,10-Mar-15,ODI,Ireland,0,1,0
16.0,24,21,2,0,76.19,1,caught,2,Auckland,14-Mar-15,ODI,Zimbabwe,0,0,0
137.0,223,126,14,3,108.73,1,bowled,1,Melbourne,19-Mar-15,ODI,Bangladesh,1,0,0
34.0,83,48,1,2,70.83,1,bowled,2,Sydney,26-Mar-15,ODI,Australia,0,0,0
6.0,11,9,1,0,66.66,3,bowled,1,Fatullah,10-Jun-15,Test,Bangladesh,0,0,0
63.0,100,68,4,1,92.64,1,caught,2,Mirpur,18-Jun-15,ODI,Bangladesh,0,1,0
0.0,1,2,0,0,0,1,caught,1,Mirpur,21-Jun-15,ODI,Bangladesh,0,0,0
29.0,34,29,2,1,100,1,caught,1,Mirpur,24-Jun-15,ODI,Bangladesh,0,0,0
9.0,33,24,1,0,37.5,3,lbw,2,Galle,12-Aug-15,Test,Sri Lanka,0,0,0
4.0,16,16,1,0,25,4,bowled,4,Galle,12-Aug-15,Test,Sri Lanka,0,0,0
79.0,185,132,5,3,59.84,5,lbw,1,Colombo (PSS),20-Aug-15,Test,Sri Lanka,0,1,0
34.0,100,55,2,0,61.81,5,caught,3,Colombo (PSS),20-Aug-15,Test,Sri Lanka,0,0,0
26.0,95,65,3,1,40,5,caught,1,Colombo (SSC),28-Aug-15,Test,Sri Lanka,0,0,0
50.0,131,72,4,1,69.44,5,caught,3,Colombo (SSC),28-Aug-15,Test,Sri Lanka,0,1,0
106.0,79,66,12,5,160.6,1,caught,1,Dharamsala,02-Oct-15,T20I,South Africa,1,0,0
22.0,40,24,2,0,91.66,1,run out,1,Cuttack,05-Oct-15,T20I,South Africa,0,0,0
150.0,215,133,13,6,112.78,1,caught,2,Kanpur,11-Oct-15,ODI,South Africa,1,0,0
3.0,6,10,0,0,30,1,bowled,1,Indore,14-Oct-15,ODI,South Africa,0,0,0
65.0,95,74,7,2,87.83,1,caught,2,Rajkot,18-Oct-15,ODI,South Africa,0,1,0
21.0,21,19,4,0,110.52,1,caught,1,Chennai,22-Oct-15,ODI,South Africa,0,0,0
16.0,21,20,3,0,80,1,caught,2,Wankhede,25-Oct-15,ODI,South Africa,0,0,0
2.0,41,28,0,0,7.14,6,caught,1,Nagpur,25-Nov-15,Test,South Africa,0,0,0
23.0,77,39,1,1,58.97,6,caught,3,Nagpur,25-Nov-15,Test,South Africa,0,0,0
1.0,15,6,0,0,16.66,6,caught,1,Delhi,03-Dec-15,Test,South Africa,0,0,0
0.0,7,1,0,0,0,3,bowled,3,Delhi,03-Dec-15,Test,South Africa,0,0,0
171.0,205,163,13,7,104.9,1,not out,1,Perth,12-Jan-16,ODI,Australia,1,0,0
124.0,175,127,11,3,97.63,1,run out,1,Brisbane,15-Jan-16,ODI,Australia,1,0,0
